,acceleration,SPEED,Frequency
327,-2.3,1.0,3.1249112241129516e-05
328,-2.3,2.0,7.102070963893072e-05
329,-2.3,3.0,8.522485156671685e-06
330,-2.3,4.0,5.681656771114457e-06
331,-2.3,5.0,2.272662708445783e-05
332,-2.3,6.0,1.704497031334337e-05
333,-2.3,7.0,1.1363313542228914e-05
334,-2.3,9.0,5.681656771114457e-06
335,-2.3,11.0,5.681656771114457e-06
336,-2.3,13.0,2.8408283855572286e-06
337,-2.3,17.0,2.8408283855572286e-06
338,-2.3,18.0,1.1363313542228914e-05
339,-2.3,19.0,8.522485156671685e-06
340,-2.3,20.0,2.8408283855572286e-06
341,-2.3,21.0,8.522485156671685e-06
342,-2.3,22.0,5.681656771114457e-06
343,-2.3,23.0,2.8408283855572286e-06
344,-2.3,24.0,2.8408283855572286e-06
345,-2.3,25.0,5.681656771114457e-06
346,-2.3,27.0,2.8408283855572286e-06
347,-2.3,28.0,2.8408283855572286e-06
348,-2.3,29.0,5.681656771114457e-06
349,-2.3,30.0,5.681656771114457e-06
350,-2.3,33.0,2.8408283855572286e-06
351,-2.3,34.0,2.8408283855572286e-06
352,-2.3,36.0,2.8408283855572286e-06
353,-2.3,38.0,5.681656771114457e-06
354,-2.3,39.0,2.8408283855572286e-06
355,-2.3,40.0,2.8408283855572286e-06
356,-2.3,48.0,2.8408283855572286e-06
357,-2.3,49.0,2.8408283855572286e-06
358,-2.2,1.0,4.545325416891566e-05
359,-2.2,2.0,5.96573960967018e-05
360,-2.2,3.0,2.8408283855572286e-06
361,-2.2,4.0,5.681656771114457e-06
362,-2.2,5.0,1.1363313542228914e-05
363,-2.2,6.0,1.98857986989006e-05
364,-2.2,7.0,1.4204141927786142e-05
365,-2.2,8.0,2.8408283855572286e-06
366,-2.2,9.0,2.8408283855572286e-06
367,-2.2,11.0,2.8408283855572286e-06
368,-2.2,13.0,5.681656771114457e-06
369,-2.2,15.0,5.681656771114457e-06
370,-2.2,16.0,2.8408283855572286e-06
371,-2.2,17.0,8.522485156671685e-06
372,-2.2,18.0,2.8408283855572286e-06
373,-2.2,19.0,8.522485156671685e-06
374,-2.2,20.0,2.8408283855572286e-06
375,-2.2,22.0,8.522485156671685e-06
376,-2.2,23.0,5.681656771114457e-06
377,-2.2,24.0,2.8408283855572286e-06
378,-2.2,25.0,5.681656771114457e-06
379,-2.2,26.0,8.522485156671685e-06
380,-2.2,27.0,2.8408283855572286e-06
381,-2.2,28.0,5.681656771114457e-06
382,-2.2,29.0,5.681656771114457e-06
383,-2.2,30.0,2.8408283855572286e-06
384,-2.2,31.0,8.522485156671685e-06
385,-2.2,32.0,1.4204141927786142e-05
386,-2.2,33.0,5.681656771114457e-06
387,-2.2,35.0,5.681656771114457e-06
388,-2.2,36.0,5.681656771114457e-06
389,-2.2,37.0,5.681656771114457e-06
390,-2.2,39.0,2.8408283855572286e-06
391,-2.2,40.0,5.681656771114457e-06
392,-2.2,42.0,2.8408283855572286e-06
393,-2.2,43.0,2.8408283855572286e-06
394,-2.2,44.0,2.8408283855572286e-06
395,-2.2,45.0,2.8408283855572286e-06
396,-2.2,47.0,2.8408283855572286e-06
397,-2.2,49.0,2.8408283855572286e-06
398,-2.2,53.0,2.8408283855572286e-06
399,-2.2,54.0,2.8408283855572286e-06
400,-2.2,57.0,2.8408283855572286e-06
401,-2.1,1.0,4.545325416891566e-05
402,-2.1,2.0,7.386153802448793e-05
403,-2.1,3.0,1.98857986989006e-05
404,-2.1,4.0,1.704497031334337e-05
405,-2.1,5.0,2.5567455470015058e-05
406,-2.1,6.0,1.4204141927786142e-05
407,-2.1,7.0,1.704497031334337e-05
408,-2.1,8.0,8.522485156671685e-06
409,-2.1,9.0,5.681656771114457e-06
410,-2.1,11.0,1.1363313542228914e-05
411,-2.1,12.0,2.8408283855572286e-06
412,-2.1,14.0,1.1363313542228914e-05
413,-2.1,15.0,5.681656771114457e-06
414,-2.1,17.0,2.8408283855572286e-06
415,-2.1,18.0,8.522485156671685e-06
416,-2.1,19.0,5.681656771114457e-06
417,-2.1,20.0,1.1363313542228914e-05
418,-2.1,21.0,1.1363313542228914e-05
419,-2.1,22.0,8.522485156671685e-06
420,-2.1,23.0,2.8408283855572286e-06
421,-2.1,24.0,2.8408283855572286e-06
422,-2.1,25.0,5.681656771114457e-06
423,-2.1,26.0,5.681656771114457e-06
424,-2.1,27.0,5.681656771114457e-06
425,-2.1,28.0,8.522485156671685e-06
426,-2.1,29.0,8.522485156671685e-06
427,-2.1,30.0,2.8408283855572286e-06
428,-2.1,32.0,5.681656771114457e-06
429,-2.1,34.0,2.8408283855572286e-06
430,-2.1,35.0,8.522485156671685e-06
431,-2.1,38.0,1.4204141927786142e-05
432,-2.1,39.0,2.8408283855572286e-06
433,-2.1,41.0,5.681656771114457e-06
434,-2.1,42.0,5.681656771114457e-06
435,-2.1,44.0,2.8408283855572286e-06
436,-2.1,46.0,2.8408283855572286e-06
437,-2.1,48.0,2.8408283855572286e-06
438,-2.1,50.0,2.8408283855572286e-06
439,-2.1,55.0,2.8408283855572286e-06
440,-2.1,56.0,2.8408283855572286e-06
441,-2.0,1.0,2.8408283855572283e-05
442,-2.0,2.0,4.545325416891566e-05
443,-2.0,3.0,5.681656771114457e-06
444,-2.0,4.0,1.1363313542228914e-05
445,-2.0,5.0,1.1363313542228914e-05
446,-2.0,6.0,8.522485156671685e-06
447,-2.0,7.0,8.522485156671685e-06
448,-2.0,8.0,1.1363313542228914e-05
449,-2.0,9.0,1.4204141927786142e-05
450,-2.0,10.0,8.522485156671685e-06
451,-2.0,11.0,5.681656771114457e-06
452,-2.0,12.0,2.8408283855572286e-06
453,-2.0,13.0,1.4204141927786142e-05
454,-2.0,14.0,5.681656771114457e-06
455,-2.0,15.0,5.681656771114457e-06
456,-2.0,16.0,8.522485156671685e-06
457,-2.0,17.0,2.8408283855572286e-06
458,-2.0,18.0,5.681656771114457e-06
459,-2.0,19.0,5.681656771114457e-06
460,-2.0,20.0,8.522485156671685e-06
461,-2.0,21.0,1.1363313542228914e-05
462,-2.0,22.0,5.681656771114457e-06
463,-2.0,23.0,2.8408283855572286e-06
464,-2.0,24.0,5.681656771114457e-06
465,-2.0,25.0,1.1363313542228914e-05
466,-2.0,26.0,1.1363313542228914e-05
467,-2.0,27.0,1.4204141927786142e-05
468,-2.0,28.0,2.8408283855572286e-06
469,-2.0,29.0,8.522485156671685e-06
470,-2.0,30.0,1.1363313542228914e-05
471,-2.0,31.0,8.522485156671685e-06
472,-2.0,33.0,1.1363313542228914e-05
473,-2.0,34.0,2.8408283855572286e-06
474,-2.0,35.0,2.8408283855572286e-06
475,-2.0,36.0,8.522485156671685e-06
476,-2.0,37.0,2.8408283855572286e-06
477,-2.0,38.0,8.522485156671685e-06
478,-2.0,39.0,2.8408283855572286e-06
479,-2.0,42.0,5.681656771114457e-06
480,-2.0,45.0,2.8408283855572286e-06
481,-2.0,50.0,5.681656771114457e-06
482,-2.0,51.0,2.8408283855572286e-06
483,-1.9,1.0,4.545325416891566e-05
484,-1.9,2.0,7.670236641004517e-05
485,-1.9,3.0,2.272662708445783e-05
486,-1.9,5.0,8.522485156671685e-06
487,-1.9,6.0,1.4204141927786142e-05
488,-1.9,7.0,8.522485156671685e-06
489,-1.9,8.0,5.681656771114457e-06
490,-1.9,10.0,1.704497031334337e-05
491,-1.9,11.0,2.8408283855572286e-06
492,-1.9,12.0,2.8408283855572286e-06
493,-1.9,13.0,8.522485156671685e-06
494,-1.9,14.0,1.4204141927786142e-05
495,-1.9,15.0,8.522485156671685e-06
496,-1.9,16.0,1.704497031334337e-05
497,-1.9,17.0,5.681656771114457e-06
498,-1.9,18.0,5.681656771114457e-06
499,-1.9,19.0,5.681656771114457e-06
500,-1.9,20.0,1.1363313542228914e-05
501,-1.9,21.0,1.98857986989006e-05
